k,P,z,run_label,avg_r2_oos,avg_sharpe,avg_subspace_stability,avg_max_principal_angle,avg_mean_principal_angle,avg_geodesic_accel,avg_erank,avg_erank_collapse,avg_spectral_gap
4,1024,0.0,FM-P2,-0.057523,0.049676,0.501935,0.321358,0.147408,0.082284,3.602775,0.0,0.312215
4,1024,10.0,FM-P1,-0.032137,-0.00245,0.961432,0.552517,0.316732,0.124789,3.946938,0.0,0.671953
4,1024,20.0,Run3,-0.028626,0.205029,1.207916,0.665261,0.42008,0.19535,3.949825,0.0,0.682406
4,4096,10.0,Run9,-0.027108,0.211538,0.593157,0.391503,0.168522,0.127227,3.881321,0.0,0.543416
4,4096,50.0,Run9,-0.027463,0.113861,0.856288,0.518116,0.264662,0.105035,3.949071,0.0,0.67816
4,6000,10.0,Run10,-0.028504,0.010354,0.524492,0.352125,0.143072,0.126873,3.843715,0.0,0.491794
4,6000,50.0,Run10,-0.027374,0.120517,0.791126,0.481138,0.242027,0.098668,3.943781,0.0,0.662293
8,1024,0.0,Run11a,-0.043253,0.173987,0.432091,0.290397,0.068076,0.094777,6.483162,0.004789,0.123801
8,1024,10.0,FM-P1,-0.026703,0.120192,0.89528,0.565139,0.17255,0.206174,7.630822,0.0,0.388038
8,1024,20.0,Run11a,-0.026424,0.076923,1.10693,0.651555,0.22593,0.157386,7.761711,0.0,0.484364
8,1024,50.0,Run11a,-0.025459,0.107487,1.305106,0.756775,0.275683,0.187245,7.794596,0.0,0.521718
12,64,20.0,FM-P3,-0.034262,0.007411,1.660466,1.036287,0.28464,0.349561,10.472384,0.014368,0.206443
12,256,20.0,FM-P3,-0.029229,0.183099,1.68812,0.941911,0.29878,0.234035,11.249499,0.0,0.332819
12,1024,0.0,FM-P2,-0.044374,0.313679,0.337306,0.229493,0.035564,0.081672,8.577195,0.021073,0.041272
12,1024,1.0,Run2,-0.025695,0.128234,0.702229,0.476902,0.087819,0.087755,10.190136,0.0,0.125995
12,1024,5.0,Run2,-0.025263,0.136353,1.091539,0.697246,0.162069,0.119769,11.261268,0.0,0.307757
12,1024,10.0,FM-P1,-0.025357,0.129996,0.847524,0.572671,0.112081,0.213029,10.586817,0.0,0.162534
12,1024,20.0,Run3,-0.024179,0.199393,1.489824,0.900135,0.232489,0.125496,11.474806,0.0,0.410738
12,1024,100.0,Run2,-0.023507,0.228131,1.680029,1.077929,0.271522,0.182214,11.453914,0.0,0.416803
12,4096,10.0,Run9,-0.022933,0.294711,0.491962,0.340979,0.050507,0.118691,9.6059,0.0,0.079133
12,4096,20.0,FM-P3,-0.022644,0.308123,0.646394,0.453941,0.069367,0.159356,10.046629,0.0,0.109725
12,4096,50.0,Run9,-0.021891,0.367559,0.933676,0.64359,0.118883,0.255045,10.887519,0.0,0.209363
12,6000,10.0,Run10,-0.022906,0.244982,0.423416,0.292642,0.042214,0.104675,9.435292,0.0,0.072106
12,6000,50.0,Run10,-0.022788,0.172737,0.809749,0.571567,0.093597,0.208873,10.479952,0.0,0.151985
12,8000,0.0,Run12,-0.040362,0.21252,0.126478,0.087179,0.010944,0.032692,8.560354,0.05364,0.04294
12,8000,10.0,Run12,-0.023201,0.200562,0.37682,0.260259,0.036777,0.091061,9.450363,0.0,0.068078
12,8000,50.0,Run14,-0.02251,0.276459,0.724941,0.512187,0.078804,0.184396,10.217573,0.0,0.125581
12,8000,100.0,Run14,-0.022389,0.284311,0.955788,0.663906,0.120878,0.268483,10.919813,0.0,0.215149
12,10000,10.0,P5,-0.02291,0.24576,0.344982,0.238021,0.033255,0.083838,9.393337,0.0,0.066872
12,10000,50.0,P5,-0.022866,0.128543,0.66383,0.469321,0.069091,0.164702,10.033953,0.0,0.107022
16,1024,0.0,Run11a,-0.054048,0.145245,0.265427,0.182086,0.020536,0.064722,10.040398,0.056513,0.013109
16,1024,10.0,FM-P1,-0.024376,0.196834,0.826871,0.574712,0.082933,0.211006,12.790683,0.0,0.058053
16,1024,20.0,Run11a,-0.023861,0.224426,1.09735,0.748039,0.124745,0.301335,13.867329,0.002874,0.120313
16,1024,50.0,Run11a,-0.02325,0.251982,1.499874,0.957369,0.184581,0.233587,14.646912,0.007663,0.254532
16,8000,0.0,Run12,-0.049475,0.172739,0.097288,0.067281,0.006244,0.022361,10.129745,0.068008,0.013498
16,8000,10.0,Run12,-0.022934,0.273638,0.369896,0.256053,0.027666,0.095828,11.277965,0.0,0.023356
16,8000,50.0,Run14,-0.022728,0.195564,0.721776,0.516585,0.059128,0.1873,12.266635,0.0,0.04111
