run,k,P,z,T,avg_r2_oos,avg_sharpe,avg_subspace_stability,avg_max_principal_angle,avg_mean_principal_angle,avg_geodesic_accel,avg_erank,avg_erank_collapse,avg_spectral_gap,erank_over_k,spectral_gap_pct
Run1,4,1024,0,12,-0.068738,0.033662,0.588709,0.396841,0.162658,0.141023,3.382539,0.002778,0.220919,0.845635,22.091870
Run1,4,1024,10,12,-0.039922,0.124149,1.237812,0.802710,0.401132,0.114294,3.896735,0.000000,0.574292,0.974184,57.429250
Run1,8,1024,0,12,-0.057367,0.204040,0.454414,0.312912,0.064608,0.118081,5.580585,0.018519,0.041938,0.697573,4.193812
Run1,8,1024,10,12,-0.032434,0.124780,1.399760,0.931821,0.282069,0.114831,7.413556,0.000926,0.306956,0.926694,30.695610
Run1,12,1024,0,12,-0.071727,0.003268,0.344688,0.238305,0.031907,0.091721,6.591813,0.201852,0.001342,0.549318,0.134200
Run1,12,1024,10,12,-0.029523,0.230358,1.389662,1.044526,0.191994,0.131073,9.536090,0.017593,0.046543,0.794674,4.654315
Run1,16,1024,0,12,-0.087863,-0.053282,0.265426,0.183657,0.017896,0.067055,7.245099,0.842593,0.000000,0.452819,0.000000
Run1,16,1024,10,12,-0.029346,0.222280,1.348005,1.101556,0.127026,0.115175,9.799155,0.039815,0.000000,0.612447,0.000000
Run6,20,4096,50,12,-0.025457,0.428213,1.390612,1.267997,0.092826,0.073419,9.874499,0.482407,0.000000,0.493725,0.000000
Run6,20,4096,100,12,-0.025342,0.432275,1.412940,1.458871,0.083848,0.020042,9.856880,0.487037,0.000000,0.492844,0.000000
Run1,24,1024,0,12,-0.131690,0.212184,0.166530,0.115938,0.006965,0.046309,7.838482,1.000000,0.000000,0.326603,0.000000
Run1,24,1024,10,12,-0.029227,0.235614,1.322483,1.119238,0.077522,0.097656,9.829161,1.000000,0.000000,0.409548,0.000000
Run6,24,4096,50,12,-0.025427,0.428969,1.384300,1.272153,0.075312,0.068956,9.873561,1.000000,0.000000,0.411398,0.000000
Run6,24,4096,100,12,-0.025335,0.433658,1.410176,1.453405,0.068983,0.017149,9.855667,1.000000,0.000000,0.410653,0.000000
Run5,28,1024,0,12,-0.176347,-0.032572,0.124225,0.086697,0.004288,0.036144,7.991680,1.000000,0.000000,0.285417,0.000000
Run5,28,1024,10,12,-0.029199,0.236002,1.314867,1.120466,0.064850,0.091851,9.832119,1.000000,0.000000,0.351147,0.000000
Run5,32,1024,0,12,-0.245029,0.060255,0.092439,0.064689,0.002693,0.026888,8.060311,1.000000,0.000000,0.251885,0.000000
Run5,32,1024,10,12,-0.029209,0.234576,1.308373,1.117502,0.055888,0.090320,9.833184,1.000000,0.000000,0.307287,0.000000
Run3,4,1024,20,24,-0.028626,0.205029,1.207916,0.665261,0.420080,0.195350,3.949825,0.000000,0.682406,0.987456,68.240600
Run3,8,1024,20,24,-0.025686,0.139891,1.365448,0.775875,0.295348,0.132879,7.804608,0.000000,0.530543,0.975576,53.054300
Run2,12,1024,1,24,-0.025695,0.128234,0.702229,0.476902,0.087819,0.087755,10.190136,0.000000,0.125995,0.849178,12.599500
Run2,12,1024,5,24,-0.025263,0.136353,1.091539,0.697246,0.162069,0.119769,11.261268,0.000000,0.307757,0.938439,30.775700
Run2,12,1024,20,24,-0.024232,0.210213,1.523093,0.926063,0.239712,0.129528,11.476672,0.000000,0.413193,0.956389,41.319300
Run3,12,1024,20,24,-0.024179,0.199393,1.489824,0.900135,0.232489,0.125496,11.474806,0.000000,0.410738,0.956234,41.073800
Run2,12,1024,100,24,-0.023507,0.228131,1.680029,1.077929,0.271522,0.182214,11.453914,0.000000,0.416803,0.954493,41.680300
Run3,16,1024,20,24,-0.023297,0.269948,1.595065,1.032811,0.194694,0.124586,14.761079,0.004789,0.289968,0.922567,28.996800
Run4,24,64,20,24,-0.034993,0.029264,1.419981,1.438387,0.083558,0.033678,16.232313,0.068966,0.027958,0.676346,2.795800
Run4,24,256,20,24,-0.025566,0.322742,1.431380,1.489980,0.079834,0.027295,18.172800,0.045019,0.066218,0.757200,6.621800
Run3,24,1024,20,24,-0.022573,0.283874,1.535360,1.201785,0.116767,0.140719,18.656600,0.035441,0.038902,0.777358,3.890200
Run4,24,1024,20,24,-0.022553,0.292026,1.533880,1.201230,0.116747,0.146800,18.654884,0.036398,0.038813,0.777287,3.881300
Run4,24,4096,20,24,-0.021038,0.425746,1.168918,0.865519,0.087508,0.131056,17.809959,0.028736,0.003130,0.742082,0.313000
